Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID,Time_Lag,Negative_Lag,Copied_From_Neighbor,Total_Neighbors,No_Neighbors_Already_Implemented,Neighbor_Adoption_Rate,Neighbors_Already_Implemented,Neighbor_Who_Implemented_First,Adoption_Lag,Copy_Confidence_Score,Region,First_Known_Date,Years_Since_First_Adoption,Time_To_Implementation,Policy_Type,Is_Restaurant_Policy,Is_Worksite_Policy,Is_Ban_Policy,Region_Northeast,Region_South,Region_West,MeasureDesc_Commercial Day Care Centers,MeasureDesc_Government Multi-Unit Housing,MeasureDesc_Government Worksites,MeasureDesc_Home-based Day Care Centers,MeasureDesc_Hotels and Motels,MeasureDesc_Personal Vehicles,MeasureDesc_Private Multi-Unit Housing,MeasureDesc_Private Worksites,MeasureDesc_Restaurants,MeasureDesc_Smokefree Indoor Air – Other Sites
2006,4,CO,Colorado,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2006-03-27,2006-07-01,"(38.843840757000464, -106.13361092099967)",15GRP,100,96,False,False,6,0,0.0,[],,,0.0,West,1975-05-05,30.89390828199863,96,Smokefree Indoor Air – Other Sites - Hospitals,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,4,CO,Colorado,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Banned,4,Ranking,2006-03-27,2006-07-01,"(38.843840757000464, -106.13361092099967)",15GRP,231,96,False,False,6,1,0.1666666666666666,['Utah'],Utah,4388.0,0.1458333333333333,West,1975-01-01,31.23340177960301,96,Restaurants - Type of Restriction in Restaurant Bar Area,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,4,NJ,New Jersey,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2006-01-15,2006-04-15,"(40.13057004800049, -74.27369128799967)",10GRP,81,90,False,True,3,2,0.6666666666666666,"['Delaware', 'New York']",Delaware,1325.0,0.5833333333333333,Northeast,1990-01-09,16.016427104722794,90,Hotels and Motels - Type of Restriction in Lobby and Common Area of Hotel and Motel,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2006,3,CO,Colorado,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2006-03-27,2006-07-01,"(38.843840757000464, -106.13361092099967)",15GRP,232,96,False,False,6,1,0.1666666666666666,['Utah'],Utah,4388.0,0.1458333333333333,West,1975-01-01,31.23340177960301,96,Restaurants - Type of Restriction in Restaurant Employee Area,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,2,NJ,New Jersey,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Banned,4,Ranking,2006-01-15,2006-04-15,"(40.13057004800049, -74.27369128799967)",10GRP,37,90,False,True,3,2,0.6666666666666666,"['Delaware', 'New York']",Delaware,1325.0,0.5833333333333333,Northeast,1975-01-01,31.039014373716633,90,Restaurants - Type of Restriction in Restaurant (Summary),1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,4,OH,Ohio,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",15GRP,236,30,False,False,4,0,0.0,[],,,0.0,Midwest,1979-01-01,27.849418206707735,30,Bars - Type of Restriction in Bar Employee Area,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,2,TN,Tennessee,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Banned,4,Ranking,2006-06-12,2006-06-12,"(35.68094058000048, -85.77449091399967)",10GRP,1,0,False,False,7,2,0.2857142857142857,"['Mississippi', 'Arkansas']",Mississippi,81.0,0.5167123287671231,South,1975-06-02,31.028062970568104,0,Government Worksites - Type of Restriction in Government Worksite,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,4,OH,Ohio,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",15GRP,96,30,False,False,4,0,0.0,[],,,0.0,Midwest,1985-05-10,21.49486652977413,30,Smokefree Indoor Air – Other Sites - Malls,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,4,CO,Colorado,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2006-03-27,2006-07-01,"(38.843840757000464, -106.13361092099967)",15GRP,235,96,False,False,6,0,0.0,[],,,0.0,West,1979-01-01,27.23340177960301,96,Bars - Type of Restriction in Bar Patron Area,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,4,AR,Arkansas,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Banned,4,Ranking,2006-04-07,2006-07-21,"(34.74865012400045, -92.27449074299966)",15GRP,96,105,False,False,6,1,0.1666666666666666,['Oklahoma'],Oklahoma,1036.0,0.1458333333333333,South,1985-05-10,20.908966461327857,105,Smokefree Indoor Air – Other Sites - Malls,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
