Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID
2020,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Residential Facilities,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,339
2021,2,NE,Nebraska,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,233
2024,1,IL,Illinois,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Mental Health - Outpatient Facilities,Banned,4,Ranking,2007-07-23,2008-01-01,"(40.48501028300046, -88.99771017799969)",15GRP,340
2024,1,MI,Michigan,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2009-12-18,2010-05-01,"(44.6613195430005, -84.71439026999968)",10GRP,81
2024,1,NJ,New Jersey,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2006-01-15,2006-04-15,"(40.13057004800049, -74.27369128799967)",15GRP,99
2022,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,37
2013,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,97
2018,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Residential Facilities,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,339
2024,1,GU,Guam,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Banned,4,Ranking,2005-12-09,2006-05-08,"(13.444304, 144.793731)",10GRP,37
2021,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,235
2022,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Residential Facilities,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,339
2024,1,MI,Michigan,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Banned,4,Ranking,2009-12-18,2010-05-01,"(44.6613195430005, -84.71439026999968)",10GRP,20
2013,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,236
2024,1,PW,Palau,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Banned,4,Ranking,2011-08-19,2012-02-15,"(7.514979999999999, 134.58251999999993)",15GRP,236
2024,1,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Bars,Restrictions,Type of Restriction in Bar (Summary),Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,234
2021,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Prisons,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,101
2024,1,RI,Rhode Island,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,2004-06-29,2005-03-01,"(41.70828019300046, -71.52247031399963)",20GRP,83
2021,2,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Residential Facilities,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,339
2020,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Mental Health - Residential Facilities,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,341
2013,2,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Outpatient Facilities,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,338
2016,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Residential Facilities,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,339
2024,1,OK,Oklahoma,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2003-06-06,2003-09-01,"(35.47203135600046, -97.52107021399968)",10GRP,81
2024,1,VI,U.S. Virgin Islands,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Banned,4,Ranking,2010-05-10,2010-05-10,"(18.335765, -64.896335)",15GRP,96
2018,2,NE,Nebraska,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,50
2011,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,99
2023,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Outpatient Facilities,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,338
2024,1,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Government Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Government Multi-Unit Housing,Banned,4,Ranking,2006-03-02,2007-03-02,"(18.220833, -66.590149)",10GRP,115
2020,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,65
2009,2,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Mental Health - Outpatient Facilities,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,340
2018,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,232
2011,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,50
2012,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,100
2014,2,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,100
2016,2,NE,Nebraska,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,233
2010,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,1
2018,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,236
2012,2,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,100
2024,1,MP,Northern Mariana Islands,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2009-09-29,2009-09-29,"(15.0979, 145.6739)",15GRP,100
2024,1,HI,Hawaii,Legislation - Smokefree Indoor Air,Private Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Private Multi-Unit Housing,Banned,4,Ranking,2006-07-10,2006-11-16,"(21.304850435000446, -157.85774940299973)",10GRP,125
2024,1,CO,Colorado,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Banned,4,Ranking,2006-03-27,2006-07-01,"(38.843840757000464, -106.13361092099967)",15GRP,97
2024,1,OR,Oregon,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Prisons,Banned,4,Ranking,2012-08-02,2014-12-31,"(44.56744942400047, -120.15503132599969)",15GRP,101
2024,1,WA,Washington,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2005-11-08,2005-12-08,"(47.52227862900048, -120.47001078999972)",15GRP,235
2015,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",20GRP,83
2019,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Residential Facilities,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,339
2016,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,100
2010,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,97
