y_true,gb_pred
2506.0,2393.8829769930717
84.0,229.30723937975625
3574.0,2781.857353499685
2015.0,2027.2058560574317
11.0,658.5359430855551
335.0,567.7160844158398
585.0,974.4792253062155
1127.0,1638.8016698152219
1446.0,1419.0683815449736
3458.0,3405.502677304686
351.0,383.41430556862866
2758.0,2733.19193887354
3370.0,2554.467053417076
58.0,696.5411885129996
58.0,269.14247156200975
2024.0,2037.100311128149
2105.0,2070.551034936135
3114.0,3028.3390819288657
10.0,2658.9382499779176
1180.0,1150.610606281648
3391.0,2206.115008809536
3466.0,3362.0176603857203
3466.0,3311.6269485048338
1812.0,1738.3356535708717
84.0,179.14845565775374
403.0,405.77181859364435
2024.0,2175.7110926015757
585.0,594.5665693011102
2205.0,2204.479187617877
3645.0,2819.3289646860258
403.0,716.9606329463502
696.0,1467.7552839480695
2195.0,2153.7030116316796
1909.0,1817.522955463282
733.0,928.2317638226441
1137.0,1171.611895081706
392.0,1385.6498483174744
2899.0,2075.5374334029116
2761.0,2847.9578818736154
1180.0,1150.610606281648
1389.0,1535.838485172274
1812.0,1802.1686945821702
2591.0,1457.6862637598836
335.0,567.7160844158398
1325.0,1302.68422780662
1961.0,1438.5868457855265
236.0,839.6478692682649
351.0,383.41430556862866
733.0,737.3759689099991
2196.0,2336.923963918828
3466.0,3457.3855437904863
1158.0,1159.6479843638338
1812.0,1828.406606803337
814.0,2627.191788576675
381.0,503.28788157435525
1959.0,1758.6524952538234
1953.0,1967.5292045265942
2025.0,2038.3537166262547
1137.0,1271.4110760410915
84.0,112.92514784729285
2205.0,2090.060564699734
240.0,323.8039953179189
1188.0,1108.8849885722864
1137.0,1171.611895081706
2318.0,2331.729401130044
3466.0,3492.217008860219
11.0,57.8622898380702
2024.0,2169.8518701412504
