y_true,lr_pred,lr_prob,rf_pred,rf_prob
False,False,0.04096857852028073,False,0.095
True,False,0.09619198067418196,True,0.81
False,False,0.014171468775519652,False,0.01
False,False,0.2757604721950288,False,0.025
False,False,0.3473734221929258,False,0.32
False,False,0.016105939627790628,False,0.025
False,False,0.08761356026959503,False,0.105
False,True,0.6279123481941357,False,0.005
False,False,0.29048921962837154,False,0.01
False,True,0.5646765538391781,False,0.41
False,False,0.010917968728863105,False,0.005
True,True,0.7222964893465704,True,0.98
False,False,0.10681412808188254,False,0.0
True,True,0.8629572058870285,True,0.894375
False,False,0.06482624941454401,False,0.0
False,False,0.037268572697897684,False,0.0
False,True,0.5482016865565666,False,0.015
False,False,0.03469077399364971,False,0.0
False,False,0.38575015259141143,False,0.005
True,False,0.3990862992087631,True,0.6094999999999999
True,True,0.8236652552670435,True,0.9993333333333334
False,False,0.17911015016106424,False,0.01
True,True,0.8958869224530789,True,0.945
False,False,0.01798751560160986,False,0.005
True,True,0.5891551618460806,True,1.0
False,False,0.4048100701331837,False,0.05
False,False,0.34189754875719297,False,0.03
False,False,0.08135721139796007,False,0.06
False,False,0.051203271630302055,False,0.025
False,False,0.161217984430378,False,0.28625
False,False,0.1631572219905055,False,0.0
True,False,0.47186485283637825,False,0.35
False,False,0.17428174349345915,False,0.005
False,True,0.7686841532418567,False,0.035
False,False,0.01409252192535788,False,0.005
False,True,0.9981388923056503,False,0.275
False,False,0.0705276132407651,False,0.04
False,False,0.2615238892930883,True,0.53
False,False,0.22603150679527742,False,0.03
False,True,0.6961510664965889,False,0.185
False,False,0.04077074405985038,False,0.01
False,False,0.1117196964970711,False,0.0
False,False,0.023513257434773494,False,0.005
False,False,0.14769391943755275,False,0.0
True,True,0.9143760607457888,True,0.9885317460317461
False,False,0.3367432048158046,False,0.24375
False,False,0.052057814501929756,False,0.04666666666666666
False,False,0.06618194996861614,False,0.0
True,True,0.9793707326534407,True,0.9996428571428573
False,False,0.03605328603248646,False,0.0
False,True,0.6627450230462055,False,0.44826190476190475
False,True,0.564501455824833,False,0.415
False,False,0.10254024141936752,False,0.015
False,False,0.15127662929925592,False,0.0
False,False,0.2875028259656976,False,0.02
False,False,0.04196169657947095,False,0.0
False,True,0.9320492267777846,False,0.115
False,False,0.06394352154633665,False,0.0
False,False,0.048597490088034205,False,0.0
False,False,0.035398556434817645,False,0.0
False,False,0.10041975535098689,False,0.005
True,True,0.994096450370116,True,1.0
False,True,0.6576055178515263,True,0.755
True,True,0.9940244465940943,False,0.5
True,False,0.46473928399771397,True,0.99
False,False,0.16011447641656051,False,0.01
True,True,0.9989130694034993,True,0.535
False,False,0.10194384269511314,False,0.0
False,False,0.3042827845614248,False,0.475
False,False,0.015597631758542747,False,0.0
True,True,0.8683205562610143,True,0.815
False,False,0.023416943585586096,False,0.0
False,True,0.9978683630078631,True,0.93
False,True,0.9314712646559977,True,0.9380555555555555
False,True,0.5372336899740534,False,0.01
True,False,0.3071872499081454,False,0.39
False,False,0.0743260894591548,False,0.005
True,True,0.6753583194915496,True,0.635
True,True,0.9676758742955013,True,0.955
True,True,0.790859999753998,True,0.965
False,True,0.8377740216164503,False,0.035
False,True,0.963458878506817,False,0.375
False,False,0.15563424114305502,False,0.0
False,False,0.01608922888767836,False,0.005
False,False,0.41655246577116595,False,0.015
False,False,0.20712142622529525,False,0.005
False,False,0.07602400619817262,False,0.015
False,False,0.032591990679032,False,0.02
False,True,0.9965040817208468,False,0.1
True,True,0.5501738132532842,True,0.86
False,False,0.05253451895676776,False,0.0
False,False,0.030200586070935277,False,0.0
False,False,0.1490713422371809,False,0.01
False,False,0.014427092509298169,False,0.0
False,True,0.5181179648530485,False,0.38
False,False,0.022256165350083165,False,0.005
False,False,0.011575547854301878,False,0.01
False,False,0.2172155774562736,False,0.11
True,False,0.4009335182203256,True,0.56
True,True,0.8065607267193455,False,0.21113095238095236
True,False,0.24801781070949777,True,0.51
False,False,0.0018288626371989847,False,0.005
True,True,0.959107660324868,True,0.96
False,False,0.04760993433134722,False,0.01
False,False,0.056811824616207145,False,0.01
False,False,0.15298040963494872,False,0.0
True,False,0.34932218660676817,True,0.955
False,False,0.2350215780030028,False,0.385
False,False,0.04907944211458414,False,0.015
False,False,0.0722594285971149,False,0.0
False,False,0.4953268662039731,False,0.015
True,True,0.9699182389291845,True,0.9840542328042328
False,False,0.2074981493957927,False,0.22666666666666668
True,True,0.9357936782885518,True,1.0
False,False,0.05594135951597782,False,0.0
False,False,0.12159156736457964,False,0.0
True,True,0.8285199685993976,True,0.9284722222222223
False,False,0.10313205787426492,False,0.0
False,True,0.9696098536535004,True,0.515
False,False,0.06159961199216653,False,0.0
False,False,0.2519733824171283,False,0.005
True,True,0.9488135752714086,True,0.9214351851851851
False,False,0.010068660385590213,False,0.015
False,False,0.004645070665531523,False,0.015
False,False,0.2579999939515907,False,0.025
True,True,0.9653817682512453,True,0.93
True,True,0.7415455229120615,True,0.995
False,False,0.4902503205297281,False,0.175
False,False,0.07719163451829782,False,0.01
False,True,0.5666461472051968,False,0.03
False,False,0.4872030763443543,False,0.01
True,True,0.5602639240718486,True,0.875
True,True,0.6971356979385134,True,0.89
False,True,0.8788271626705282,True,0.7736834415584416
True,True,0.8629572058870285,True,0.894375
True,True,0.8573933444285008,True,0.78
False,True,0.9513851885370919,True,0.599375
False,False,0.26256951562395686,False,0.05
False,False,0.07094344626636202,False,0.01
False,False,0.34189754875719297,False,0.03
True,True,0.7307935540672138,True,0.99
False,False,0.2806672231067813,False,0.01
False,False,0.06076224301883803,False,0.01
False,False,0.0051651226728048946,False,0.01
False,True,0.9802089020558072,False,0.21
False,False,0.11567174034050033,False,0.4
False,False,0.014949794843863329,False,0.0
True,True,0.7584920028055804,False,0.44601190476190483
True,False,0.181957878426352,True,0.505
True,False,0.09592285109581007,False,0.235
False,True,0.779641878225966,False,0.055
True,False,0.062358505742652406,True,0.565
False,False,0.08582358219555698,False,0.005
False,False,0.1819080354478873,False,0.005
False,False,0.03956158873367556,False,0.005
True,True,0.7874577265690148,True,0.99
False,True,0.6130226292135292,False,0.18666666666666665
True,True,0.9082445378720321,True,0.9993518518518519
True,True,0.9980696228934401,True,0.9896296296296296
False,False,0.24334394486427602,False,0.035
True,True,0.991145857593645,True,0.9787727272727272
True,True,0.9418241866668703,True,0.985
False,False,0.1343517209709036,False,0.485
False,False,0.03904036208759187,False,0.0
False,False,0.07778371860720622,False,0.025
True,True,0.9628980553829742,True,0.975
True,True,0.9762773277562837,True,0.992397435897436
False,False,0.30692271749407296,False,0.005
True,True,0.5896668884457523,False,0.465
False,False,0.1206883208186357,False,0.0
False,False,0.27757640670172073,False,0.15
False,True,0.9797081807750845,True,0.85
False,False,0.2757604721950288,False,0.025
False,False,0.022773750591152726,False,0.005
False,False,0.0830124668706984,False,0.005
True,True,0.9994168412453664,True,0.805
False,True,0.9877175268476549,False,0.4958333333333333
False,False,0.13935395493299393,False,0.0
False,False,0.09730208229974355,False,0.01
True,True,0.9699182389291845,True,0.9840542328042328
False,False,0.19131517122265307,False,0.04
True,True,0.9574310167779653,True,0.5896296296296296
False,False,0.18835208951679142,False,0.47
True,True,0.9877074932598304,True,0.745
True,True,0.9919314090508191,True,0.9837727272727272
False,False,0.24868778420866353,True,0.515
False,False,0.0419412775450918,False,0.0
False,False,0.03363059183363683,False,0.0
True,True,0.9203168516072079,True,0.7399107142857143
True,True,0.9871862191938566,True,0.655
False,True,0.5874871669195331,False,0.075
False,False,0.2606141955143421,False,0.16891666666666666
False,False,0.1255174002345927,False,0.005
True,True,0.9981020186639461,True,0.955
False,False,0.02827917903163311,False,0.01
False,False,0.37520989740222455,False,0.145
False,True,0.8540420371693296,True,0.72375
False,False,0.12845089484053315,False,0.0
False,False,0.14681113652468328,False,0.015
False,False,0.0028722923432237943,False,0.005
True,True,0.6726284800165712,True,0.98125
False,False,0.1933246687298784,False,0.0
False,False,0.3686802599042465,False,0.0
True,False,0.3687707135743538,True,0.745
False,False,0.03563483507507375,False,0.01
False,False,0.05089002584840413,False,0.025
False,False,0.49101749294799857,False,0.15
True,True,0.9266551617828998,True,0.9998333333333334
False,False,0.026573102612787784,False,0.0
False,False,0.017388708047845456,False,0.145
True,False,0.41062878910214007,True,0.8
False,True,0.8347114132557045,False,0.315
False,False,0.4439724890640982,False,0.005
True,True,0.9937394161326832,True,0.99
False,True,0.7686841532418567,False,0.035
False,False,0.20925749451884126,False,0.005
False,False,0.1324857362341383,False,0.025
False,False,0.05890018037828314,False,0.215
True,True,0.7777275140196551,False,0.435
False,False,0.41655246577116595,False,0.015
False,False,0.00588683203798449,False,0.005
True,False,0.29313826795307096,False,0.375
True,True,0.8884863288018583,True,0.99
False,False,0.37622085989297277,False,0.0
False,False,0.109142951673518,False,0.015
False,False,0.020538060921642228,False,0.005
False,False,0.4524631463662217,True,0.6
True,True,0.6702000549815785,True,0.98
False,False,0.06611747509649928,False,0.01
False,True,0.5666461472051968,False,0.03
False,False,0.13265121704882427,False,0.025
False,False,0.2700233405285675,False,0.04
True,True,0.8285199685993976,True,0.9284722222222223
False,False,0.22523125687063342,False,0.0
False,True,0.9616966124723283,False,0.47
False,False,0.48804473324640574,False,0.3149761904761905
False,False,0.16011447641656051,False,0.01
False,False,0.09730208229974355,False,0.01
False,False,0.028610185760493286,False,0.0
True,True,0.6303593826095145,True,0.91
False,False,0.03409863255345084,False,0.0
False,False,0.3817380069258598,False,0.36
False,False,0.052326492396920145,False,0.0
False,False,0.06414034090414526,False,0.0
False,False,0.13062388900072272,False,0.01
False,True,0.8347114132557045,False,0.315
